publish_no,공시연도,자율의무,기업명,업종,사전점검수행,IT부문투자액,정보보호투자액,투자액비율BA,주요투자항목,총임직원,IT부문인력,정보보호전담인력,인력비율DC,CISO_CPO_지정현황,인증평가점검,이용자보호활동,투자특기사항,인력특기사항
4645,2026,자율,한국지역난방공사,"전기, 가스, 증기 및 공기 조절 공급업(35) - 증기, 냉·온수 및 공기조절 공급업",X,"27,687,267,487 원","5,041,334,413 원",18.2 %,공사 디지털 전환(DX) 추진중으로 정보기술부문(A) 투자액 확대,"2,217 명",67 명,내부인력 6 명 외주인력 9 명 계 15 명,22.3 %,[CISO] 직책 센터장 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 처장 임원여부 X 겸직여부 O / 주요활동(건) 0 건,"국정원 주관 사이버보안 관리실태 평가 산업부 주관 정보보안 감사 국정원 주관 기반시설 보호대책 이행여부 평가 산업부 주관 기반시설 보호대책 이행여부 평가 기반시설 제어시스템 취약점 분석,평가 분기별 사이버보안 진단의 날 점검",정보시스템 취약점 점검 및 모의해킹 주요정보통신기반시설 모의해킹 자체 해킹메일 대응 훈련 자체 전산망 침투 대응훈련 시행 국정원 주관 공공분야 사이버공격 대응훈련 참가 국정원 주관 기반시설 사이버공격 대응 실전훈련 참가 산업통상자원 사이버 위기대응 훈련 참가,,
4644,2026,의무,텐센트코리아 유한회사,정보통신업(58~63) - 유선 온라인 게임 소프트웨어 개발 및 공급업,X,,,,해당사항 없음 “특기사항” 참조,,,,,[CISO] 직책 Assistant Manager 임원여부 X 겸직여부 O / 정보보안제품관리자 주요활동(건) 0 건 [CPO] 직책 Director 임원여부 X 겸직여부 O / 사생활 및 개인정보보호 임원 주요활동(건) 0 건,"텐센트는 다음 각 사항을 포함하여 여러 정보보호 관련 인증을 받았습니다: - Korean Information Security Protection Management System (K-ISMS) - ISO 27001, 27701, 27017 - CSA STAR Certification","- 기존 및 신입 직원들에 대한 내부 개인정보보호 규정 준수 및 보안 교육, 지침 제공 - 텐센트의 국제 클라우드 서비스 제품에 대한 내부 정보보호 관련 평가를 수행하고 개인정보보호 규정 준수를 지원하기 위한 정보보호 및 보안 규정 준수 전문가 지정 - 개인정보를 처리하는 시스템 및 서비스의 지속적인 기밀성, 완전성, 이용가능성 및 복원성을 보장하고, 물리적 또는 기술적 사고 시 적시에 개인정보의 이용가능성 및 그에 대한 접속을 복구하며, 개인정보처리의 보안성을 보장하기 위한 기술적 및 조직적 조치들의 유효성을 정기적으로 시험 및 평가하기 위한 조치 등 해당 관할지역에서 적절하고 적용 가능한 바에 따른 적절한 기술 및 조직적 보안조치 시행 - 텐센트는 공식적인 사고 대응절차를 수립하였고, 보안사고 처리 담당 인원의 구체적인 책임 및 권한을 설정해 두고 있으며, 성격 및 중요도에 따라 정보보안사고를 구분하여 그 분류 및 단계를 지정함. 텐센트는 사고 예방을 위해 보안모니터링 시스템을 사용하고, 적시에 사고를 분석, 추적 기록 및 해결하기 위해 보안 취약성을 단계별로 분류함.","텐센트는 중국 본토 외 전세계에서 정보 보안 시스템을 공동으로 이용하고 있고, 이에 대하여 정보보호 향상을 위하여 글로벌 차원에서 투자를 하고 있습니다. 이를 위하여 텐센트의 글로벌 예산의 약 3.96% 를 한국 내 정보기술을 위한 예산으로 투자하고 있습니다 (중국 본토 제외). 한국 내 클라우드 서비스를 제공하기 위하여 텐센트는 정보 보안 시설에 대한 투자에 노력을 기울이고 있습니다.","텐센트 클라우드 인터내셔널의 글로벌 직원 수(중국 본토 제외)는 전년도 공시와 비교적 일관된 수준을 유지하고 있습니다(즉, 약 100명 이상)"
4643,2026,의무,유니퀘스트,도매 및 소매업(45~47) - 전기용 기계·장비 및 관련 기자재 도매업,X,"635,324,525 원","46,684,363 원",7.3 %,,209.6 명,2 명,내부인력 1 명 외주인력 0 명 계 1 명,50.0 %,[CISO] 직책 MIS실장 임원여부 O 겸직여부 O / 주요활동(건) 3 건 [CPO] 직책 임원여부 X 겸직여부 X 주요활동(건) 0 건,,불법 소프트웨어 검소 보안 소프트웨어 패치 검사 개인정보보호교육,,
4642,2026,의무,서울이동통신(주),정보통신업(58~63) - 시스템 소프트웨어 개발 및 공급업,X,"230,632,885 원",0 원,0.0 %,인건비 및 통신회선 이용료,9 명,4 명,내부인력 4 명 외주인력 0 명 계 4 명,100.0 %,[CISO] 직책 O 임원여부 O 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 O 임원여부 O 겸직여부 X 주요활동(건) 0 건,,- 개인정보보호 임직원 교육 시행 - 개인정보관리계획 이행점검 - 개인정보파기 시행,,
4641,2026,의무,(주)케이지이니시스,정보통신업(58~63) - 응용 소프트웨어 개발 및 공급업,X,"7,991,970,747 원","1,321,133,953 원",16.5 %,,212 명,82 명,내부인력 3 명 외주인력 0 명 계 3 명,3.6 %,[CISO] 직책 실장 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 실장 임원여부 X 겸직여부 X 주요활동(건) 0 건,O PCI-DSS 인증 획득 O ISMS 인증 획득 O 전자금융기반시설 취약점 분석/평가 실시,"O 침해사고대응 모의훈련(스팸메일 등) O 재해복구대응 훈련 실시 O 정보보호위원회 실시(4회) O 홈페이지 취약점 진단(2회), 인프라취약점 진단(1회) O 정보보호의날 점검 실시(매월)",,
4640,2026,의무,화신정공,제조업(10~34) - 그 외 자동차용 신품 부품 제조업,X,"343,206,657 원","205,940,338 원",60.0 %,프로그램 및 콘텐츠 개발용 도구 S/W 구매 등,233 명,2 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 O 임원여부 X 겸직여부 O / 주요활동(건) 0 건 [CPO] 직책 O 임원여부 X 겸직여부 O / 주요활동(건) 0 건,H-ISMS(현대차 보안감사) 인증,시스템 2차 인증 개인정보 암호화,"그룹사(화신) 쉐어드 서비스 이용 (연말, 쉐어드 서비스 비용 일괄 지급)",그룹사(화신) 기술지원 받기에 정보기술/정보보호 운영 외주비 중 정보보호 부문 비용을 분리 산정할 수 없음
4639,2026,의무,이노피아테크,제조업(10~34) - 방송장비 제조업,X,"81,918,625 원","69,471,600 원",84.8 %,,55 명,1 명,내부인력 1 명 외주인력 0 명 계 1 명,100.0 %,[CISO] 직책 상무 임원여부 X 겸직여부 O / 주요활동(건) 3 건 [CPO] 직책 연구소장 임원여부 O 겸직여부 O / 주요활동(건) 2 건,"1. 정보보호 기본직책 수립 및 인증획득 검토 1) 정보보호 정책 수립 2) 조직 구성(CISO 임명 등) 3) ISMS-P 인증 도입 검토(개인정보 보호 포함) 2. 보안점검 1) 내부 보안 점검(분기별) - 서버, 출입통제, 시스템 계정, 방화벽, 형상관리, 서버/백업 서버, 사내 네트워크 등 주요 시스템에 대한 점검 2) 보안 교육(매월) - 신규입사자 교육, 불법프로그램 예방교육, 업무 계정 보안 교육 등 정보보안 교육 실시 3. 정보보호 관련 문서화 등 1) 보안점검 활동 결과 및 이력 문서화 2) 정보보호 교육 이력 관리",1. 개인정보 보호조치 1) 개인정보 수집/이용/제공 시 동의 절차 준수 2) 보존기간 종료 후 폐기 2. 기술적/관리적 보안조치 1) 개인정보보안 교육 실시 2) 방화벽 운영 3) 접근 권한 관리 및 로그 기록 보관 3. 개인정보보호 조직 구성 1) CPO 임명 2) 개인정보보호 조직 및 담당자 지정,,
4638,2026,의무,이노그리드,정보통신업(58~63) - 시스템 소프트웨어 개발 및 공급업,X,"5,677,503,536 원","722,951,999 원",12.7 %,인건비,184 명,97 명,내부인력 10 명 외주인력 0 명 계 10 명,10.3 %,[CISO] 직책 COO 임원여부 O 겸직여부 O / 그룹장 주요활동(건) 0 건 [CPO] 직책 본부장 임원여부 O 겸직여부 O / 혁신기술지원본부장 주요활동(건) 0 건,-,사무환경 정보보호 점검 임직원 정보보호 교육,,
4637,2026,의무,(주)KCTV제주방송,정보통신업(58~63) - 유선 방송업,X,"2,922,532,394 원","95,587,245 원",3.3 %,알뜰폰 신분증 스캐너 시스템 운영 ISMS(정보보관리체계 인증 심사),129 명,18.9 명,내부인력 0.5 명 외주인력 0 명 계 0.5 명,2.6 %,[CISO] 직책 대표이사 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 기획관리국장 임원여부 X 겸직여부 X 주요활동(건) 0 건,ISMS(정보보호관리체계) 인증 심사,정보보호 정책 및 지침 수립 유지 및 관리 임직원 정보보안 교육 IT 재해복구 모의훈련 실시 스팸 메일 사례에 따른 경각심 제고 공지 개인정보 조회기록 점검 및 보고 (일 1회) 개인정보보호 책임배상보험 가입 정보유출방지 보안솔루션 운영 ISMS(정보보호관리체계) 인증 심사(26.01 인증 완료),,
4636,2026,의무,가이온,정보통신업(58~63) - 응용 소프트웨어 개발 및 공급업,X,"50,500,000 원","6,000,000 원",12.0 %,,28 명,0 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 대표자 임원여부 O 겸직여부 O / 주요활동(건) 0 건 [CPO] 직책 - 임원여부 X 겸직여부 X 주요활동(건) 0 건,해당사항 없음,임직원 개인정보보호 교육 실시,,정보기술부분인력이 타 업무를 겸임하고있어 별도의 전담인력이 없음
4625,2026,의무,(주)퍼시스,제조업(10~34) - 기타 목재가구 제조업,X,"3,284,240,424 원","195,881,300 원",6.0 %,,267.2 명,7 명,내부인력 0 명 외주인력 1 명 계 1 명,14.3 %,[CISO] 직책 대표이사 임원여부 O 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 대표이사 임원여부 O 겸직여부 X 주요활동(건) 0 건,- 해당 사항 없음,- 개인정보보호배상책임보험 가입 - 임직원 정보보안 및 개인정보보호 교육 실시 - 개인정보 유출 방지 시스템 운영 - 개인정보취급자 망분리 시스템 운영 - DB 접근 제어 시스템 운영 - 네트워크 및 웹방화벽 보안관제 운영 - 홈페이지 취약점점검 및 모의해킹 훈련 실시 - IT재해복구 모의훈련 실시 (자체 점검),,
4634,2026,의무,(주)에이스침대,제조업(10~34) - 매트리스 및 침대 제조업,X,"1,155,667,679 원","16,932,676 원",1.5 %,,560.1 명,8.5 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 임원여부 X 겸직여부 X 주요활동(건) 0 건 [CPO] 직책 팀장 임원여부 X 겸직여부 O / 전산팀장 주요활동(건) 0 건,해당사항 없음,- 내부회계관리제도(ITGCMITAC)운영 (년3회) - 개인정보보호배상책임보험 가입 - 전문솔루션(DBsafer)를 활용한 데이타 직접변경 및 서버 접근통제 활동 수립 및 운영 - KT 웹 방화벽 관제서비스 운영 - PC 보안 솔루션운영 - 웹 보안성 확보를 위한 SSL인증서 운영 - 전 직원 개인정보보호필수 교육 (년 1회 이상),,
4635,2026,의무,에스에프에이넥셀,제조업(10~34) - 그 외 기타 특수목적용 기계 제조업,X,"393,697,160 원","206,916,742 원",52.6 %,-,498 명,5 명,내부인력 1 명 외주인력 0 명 계 1 명,20.0 %,[CISO] 직책 부문장 임원여부 O 겸직여부 O / 전무 주요활동(건) 0 건 [CPO] 직책 팀장 임원여부 X 겸직여부 X 주요활동(건) 0 건,해당없음,"1. KISA 사이버 위기대응 모의훈련 해킹메일 참여 2. 보안솔루션 고도화(네트워크 통제, DLP, 불법SW통제) 3. 한국산업기술보호협회 정보보호 및 정보보안교육 진행 4. 랜섬웨어 예방 및 고객사 데이터 유출예방 화면보호기 적용 5. 신규입사자 및 임직원 대상 보안교육 실시",-,
4633,2026,의무,아진산업,제조업(10~34) - 자동차 차체용 신품 부품 제조업,O,"2,256,986,307 원","29,601,841 원",1.3 %,네트워크 보안장비 설치 SSL 서버 보안 인증서,673 명,21.5 명,내부인력 0 명 외주인력 0 명 계 0 명,0.0 %,[CISO] 직책 관리본부장 임원여부 O 겸직여부 O / CISO&관리본부장 겸직 주요활동(건) 0 건 [CPO] 직책 N/A 임원여부 X 겸직여부 X 주요활동(건) 0 건,해당사항 없음,"1-1 연간 보안 사업 계획 1-2 보안 문서 제개정 1-3 웹방화벽 구축 1-4 네트워크 보안장비 구축 (방화벽 / IPS / 망분리) 1-5 네트워크 보안 시스템 구축 (EMS, NAC) 2-1 임직원 정보보안 교육 2-2 월별 정보보안 의식 제고 홍보활동 2-3 임직원 사이버 보안 인식 제고 교육 2-4 해킹메일모의훈련(KISA) 2-5 사이버위기대응 훈련(DDos, 웹취약점, 탐지대응) 2-6 데이터 백업 및 복구 모의 훈련 3-1 보안 조직 개편 3-2 보안카메라 추가/위치변경 3-3 서버 취약점 보안점검(KISA)",네트워크 보안장비/보안시스템 구축,
4538,2026,의무,삼성이앤에이(주),건설업(41~42) - 산업생산시설 종합건설업,O,"146,547,843,018 원","6,684,475,574 원",4.6 %,,"5,510.5 명",501 명,내부인력 6 명 외주인력 4.7 명 계 10.7 명,2.1 %,[CISO] 직책 정보보호센터장 임원여부 O 겸직여부 O / CPO 주요활동(건) 0 건 [CPO] 직책 정보보호센터장 임원여부 O 겸직여부 O / CISO 주요활동(건) 0 건,ISO/IEC 27001:2022,"● ISO/IEC 27001 인증 갱신 ● 네트워크 보안관제 모니터링 ● 클라우드 보안관제 모니터링 ● 연간 정보보호 활동계획의 수립과 이행 ● 시스템 취약점 점검 및 모의해킹 등 보안위험관리활동 수행 ● 랜섬웨어, 바이러스 등 악성코드에 대한 대응활동 수행 ● 국내 주요 현장 보안점검 수행 ● 임직원 정보보호 집합 교육 실시 ● 임직원 개인정보보호 온라인 교육 실시 ● 특별 보안교육(내부정보 보호) 실시 ● 프로젝트 협력사 관리자 대상 보안교육 실시 ● 정보보호 문화 조성 캠페인(사내방송, 정보보호 슬로건 공모전) 시행 ● 악성메일 대응 훈련 실시 ● DDos 관제 모의훈련 실시 ● 외부 클라우드 데이터 보안관리 기준 수립",,
3821,2026,자율,충북대학교병원,보건업 및 사회복지 서비스업(86~87) - 종합 병원,O,"12,095,829,934 원","1,052,949,523 원",8.7 %,"방화벽, 웹방화벽 EPP 서버 구매, DB 암호화라이선스 구매, 의생명진료연구동 및 오송임상시험센터 ICT Infra 구축 (방화벽, 망연계, NAC 센서 등 포함), ISMS 인증 및 주요정보통신기반시설 취약점 분석·평가 컨설팅 용역 수행, 개인정보암호화 솔루션 구축 등","2,546 명",36.5 명,내부인력 2 명 외주인력 0.6 명 계 2.6 명,7.1 %,[CISO] 직책 진료부원장 임원여부 O 겸직여부 O / 교수 주요활동(건) 5 건 [CPO] 직책 진료부원장 임원여부 O 겸직여부 O / 교수 주요활동(건) 5 건,○ 정보보호관리체계(ISMS) 인증 ○ 주요정보통신기반시설 취약점 분석ㆍ평가 ○ 개인정보 보호수준 평가,"○ 정보보호관리체계(ISMS) 인증심사 및 주요정보통신기반시설 취약점 분석·평가 컨설팅 ○ 정보보호규정 및 하위 기준, 개인정보보호 내부관리계획 검토 및 개정사항 공표 ○ 데이터심의위원회 운영(데이터 심의 15건 진행) ○ 홈페이지/모바일앱/인프라 취약점 진단 ○ 개인정보 보호수준 평가 수행 ○ 개인정보보호 자율점검 ○ 개인정보보호 배상책임보험 가입 ○ 교직원 개인정보 보호 및 보안 교육 실시 ○ 사이버보안 진단의 날(매월) ○ 해킹 메일 훈련 진행 ○ IT주요직무자 정보보호 교육, 소프트웨어 보안약점 교육 진행 ○ 개인정보처리 수탁사 정보보호 교육 및 준수사항 점검 진행 ○ 전산망 침투 대응 훈련 ○ 사이버공격 대응 실전훈련 ○ 개인정보 유출등 사고 대응 모의훈련 ○ 정보보호위원회 운영 ○ 개인정보 보호주간 참여 홍보를 위한 대표 홈페이지 팝업 게시 ○ 개인정보 유출 발생 시 전 부서 공통 행동강령 배포 안내 ○ 개인정보처리방침 QR 코드 포스터 게시",,
4541,2026,자율,나이스디앤비,정보통신업(58~63) - 데이터베이스 및 온라인정보 제공업,X,"2,711,729,000 원","1,765,821,000 원",65.1 %,"노후 보안장비 교체, ISMS 인증심사 등",347 명,26 명,내부인력 2 명 외주인력 0 명 계 2 명,7.7 %,[CISO] 직책 본부장 임원여부 O 겸직여부 O / 운영실장 주요활동(건) 0 건 [CPO] 직책 본부장 임원여부 O 겸직여부 O / 데이터운영실장 주요활동(건) 0 건,- 정보보호관리체계(ISMS) 인증 - 정보보호 상시평가 - 전자금융기반시설 취약점 분석평가 - 공개용 홈페이지 취약점 분석평가,- 침해사고 대응훈련 연 2회(E-APT) - 비상대응훈련 - 매월 정보보호의 날 시행 - 임직원 온라인/오프라인 정보보호 교육 실시 - 정보보호위원회(매분기) - 매월 정보보호 강화활동 및 점검 수행,없음,
4632,2026,자율,(주)우리은행,금융 및 보험업(64~66) - 국내은행,X,"401,676,268,969 원","36,381,427,605 원",9.1 %,,"13,718.8 명","1,144 명",내부인력 49 명 외주인력 52 명 계 101 명,8.8 %,[CISO] 직책 상무 임원여부 O 겸직여부 O / CPO 주요활동(건) 3 건 [CPO] 직책 상무 임원여부 O 겸직여부 O / CISO 주요활동(건) 3 건,"○ ISMS-P [인터넷뱅킹 서비스(웹, 모바일)] ○ ISMS [금고관리 시스템(통합자금관리, 세출e뱅킹) 운영] ○ ISO/IEC 27001 [정보보호 경영시스템 국제인증] ○ ISO/IEC 27701 [개인정보보호 경영시스템 국제인증] ○ ISO/IEC 27017 [클라우드 환경 정보보안 국제인증]",[정보보호 투자 활성화 실적 및 정보보호 관련 활동] 1-1.보안패치 관리 프로세스 전산화 추진 1-2.IT외부주문 보안관리 프로세스 표준화 1-3.개인(신용)정보 파기 점검 관리채널 일원화 1-4.전자금융감독규정 및 시행세칙 개정에 따른 정보보호 내규 개정 1-5.디지털금융보안법 대비 자율보안 평가 프레임워크 수립 지원 1-6.우리WON뱅킹 서비스ISMS-P 인증(사후심사) 취득 1-7.新기술(SaaS) 도입 대응 보안대책 기준 수립 1-8.新기술(생성형AI) 이용 보안대책 기준 수립 추진 1-9.내부문서 문서중앙화 시스템 구축 추진 1-10.국외영업점 법/규제(Reg-Tech) 관리 시스템 구축 추진 1-11.EOS(서비스 종료) 보안시스템 재구축 1-12.타사 사이버침해사고 대응 보안 재점검 1-13.Windows 11 단말기 업그레이드 대응PC보안솔루션 호환성 테스트 및 재구축 1-14.AI 활용 「전자금융FDS 시스템」 고도화 1-15.전자금융기반시설 보안 취약점 분석·평가 수행 1-16.한국은행CBDC 활용성테스트 관련 보안성심의 및 취약점 점검 1-17.통합전자지갑 구축 관련 보안성심의 및 취약점 점검 1-18.WIN-CMS 리뉴얼 구축 관련 보안성심의 및 취약점 점검 1-19.오픈API 플랫폼 고도화 관련 보안성심의 및 취약점 점검 1-20.개인정보 유출 모니터링 시스템 구축 1-21.대고객 서비스망API 보안 위협 관리시스템 구축 1-22.국외현지법인별 정보보호시스템 구축 표준가이드라인 수립·배포 1-23.다크웹 모니터링 및 브랜드 사칭 방지 서비스 도입을 통한 이용자 보호 강화 1-24.모의해킹 경진대회 「WooriCON」 제5회 개최 [임직원의 정보보호 인식제고 교육 및 훈련] 2-1.금융보안원 교육과정을 본부부서 일반직원에게 확대 제공 2-2.금융보안 자격증 교육과정 신설 2-3.정보보안 자격증 인사 가점제도 추가 등록 2-4.개인정보관리사·금융보안관리사 자격증 취득 공지 및 응시비용 지원 2-5.본부부서 개인(신용)정보보호 담당자 회의 시 파기점검 프로세스 교육 실시 2-6.가명정보 취급자 대상 분기별 가명정보보호 교육 실시 2-7.영업점 직급별 담당자 개인(신용)정보 교육 실시 2-8.全임직원 「정보보호 교육」 실시 및 「악성메일 대응 모의훈련」 실시 [정보보호 전담인력 관리활동 및 대외활동] 3-1.국외영업점 보안관리 요구수준(4 Type)별 점검주기·항목 개편 3-2.국외영업점 현장점검 실시 3-3.국외영업점SSL-VPN(Fortinet社) 취약점 일제 점검 및 패치/장비교체 조치 3-4.국외현지법인DMZ 방화벽 운영 정보보호 테마점검 실시 3-5.국외영업점 정보보호 현지 법규 요구사항 반영 내규 제·개정 3-6.그룹데이터플랫폼(7개 그룹사 공동) 고객정보 활용 적정성 실태점검 3-7.우리WON모바일(알뜰폰) 신규서비스 정보보호 테마점검 3-8.태블릿 브랜치 全영업조직 확대 사용에 따른 고객정보 보호대책 적정성 점검 3-9.고객정보 처리 수탁업체 점검방식 위험도 기반 차등화 3-10.개인(신용)정보 동의서 제·개정 시 법령/내규 준수여부 사전점검 3-11.개인(신용)정보처리 위탁·제휴 계약 사전점검 3-12.분기별 가명정보 처리 적정성 점검 실시 3-13.정보보안 자체감사 계획 수립 및 분기 감사·현장감사 수행 3-14.AI 활용 정보보안 위험 자동식별·평가 내부감사기법 특허 출원 3-15.전산업무 아웃소싱(우리에프아이에스) 이행점검 및IT외부주문 수행장소 점검,"IT개발사업장(2곳) 축소로 정보기술/정보보호 비용 감소(약 55억, -1.3%)",○ 금융보안 최고위 과정 교육 수료 등 3건
4631,2026,의무,에스케이텔레콤(주),정보통신업(58~63) - 무선 및 위성 통신업,O,"1,545,305,742,564 원","111,073,603,081 원",7.2 %,,"5,572.2 명","3,387.3 명",내부인력 87.8 명 외주인력 312.7 명 계 400.5 명,11.8 %,[CISO] 직책 센터장 임원여부 O 겸직여부 X 주요활동(건) 4 건 [CPO] 직책 실장 임원여부 O 겸직여부 X 주요활동(건) 4 건,"- 정보보호 관리체계(이동통신서비스인프라운용) - 정보보호 관리체계(T전화, NUGU 서비스 운영) - 정보보호 및 개인정보보호 관리체계 (T world, T멤버십, Swing 등)","- SASE (Secure Access Service Edge) 보안 기술 전시회 참여 CES(1월), MWC(3월), WIS 2025(4월), 퀀텀코리아2025(6월) - AI 기반 보이스피싱 탐지 기술 스캠뱅가드 보안기술 전시회 참여 CES(1월), MWC(3월), WIS 2025(4월) - Connect Day 2025 정보보안 진화 방향성 및 SASE 소개 발표 - 스캠뱅가드 CES 2025 사이버보안 분야 최고혁신상 수상 - 정보보호 전담 조직 확대개편(통합보안센터 신설) - CISO 직속의 침투 테스트 전문가로 구성된 SKT Red Team 구성 - 개인정보/정보보호 전사 교육 - 정보보호 사규/지침 개정 - 구성원 대상 모의훈련(악성메일) - 보안공지활동(생성형 AI 사용 시 주의사항, 사이버 공격 주의 안내 등) - 개발자, 운영자 대상 구성원 보안 교육 - 텔코망BP 구성원 정기 정보보호교육 시행 - 구성원 대상 정보보안 Daily 뉴스레터 발송 - 보안실천지침 수립 및 공지 - 보안 전문인력 육성체계 수립 및 시행 - 정보보안 임원 세미나(정보보안 문화확산, 정보보안 패러다임 변화 등) - SKT/투자사 CISO협의체 운영 - 정보보호 담당자 대상 보안세미나 개최 - 보이스피싱•스미싱•파밍 등에 의한 이용자 피해예방 노력 - 이용자 보호를 위한 제도 개선 노력 - 유통망 구성원 교육 - 유통망 자가 점검을 위한 가이드 제작 배포 - 유통망 고객정보 관리 실태 점검 - 고객 정보 보호를 위한 모바일 단말 보안 솔루션 (Zimperium for SKT) 도입 및 제공",,
4574,2026,의무,(주) 엘지씨엔에스,정보통신업(58~63) - 컴퓨터시스템 통합 자문 및 구축 서비스업,O,"469,826,213,339 원","30,243,975,298 원",6.4 %,,"6,970.6 명","2,974.7 명",내부인력 105.3 명 외주인력 150.7 명 계 256 명,8.6 %,[CISO] 직책 담당 임원여부 O 겸직여부 O / CPO 주요활동(건) 0 건 [CPO] 직책 담당 임원여부 O 겸직여부 O / CISO 주요활동(건) 0 건,"1. ISO27001 – 4건 (IDC 운영 / 부산, 가산, 하남, 상암) 2. ISMS – 1건 (LG CNS 대외서비스 (홈페이지, SINGLEX, B2B 서비스, 업무지원시스템, LG/LX Careers) 및 IDC 운영 (심사받지 않은 물리적 인프라 제외)) 3. ISMS-P – 1건 (LG CNS B2C 서비스 운영 (MY LG ID, 라이프케어, 버터타임)) 4. PCI-DSS – 1건 (전자금융 서비스)",1. 정보보호 자격증 취득 지원/보상 2. 보안성심의/검토 및 개인정보영향평가 시행 3. 취약점 진단/개선 및 모의해킹 4. 사이버위기대응 모의훈련 실시 5. 전사 임직원 정보보안 교육 6. 개인정보취급자 관리 7. 협력사 정보보호 수준 향상을 위한 점검 및 교육 8. 정보보호 정책 가이드 제정 및 운영 9. 전사 게시판 및 사내 보안 정책 가이드 WIKI를 운영하여 보안 인식 제고 활동 수행 10. 임직원PC 보안정책 강화 11. 사내PC 비정상 행위 모니터링 및 소명 관리 12. 임원회의 간 정보보호 활동의 주기적 보고 13. 부서별 보안지수 관리를 통한 보안인식 제고 활동 수행 14. 외부 정보보호 활동 협업 15. 부서 정보보안담당자 대상 정보보안 관련 안내 메일링 수행,,
4629,2026,의무,에스케이바이오팜(주),"전문, 과학 및 기술 서비스업(70~73) - 의학 및 약학 연구개발업",O,"10,358,705,686 원","1,178,996,275 원",11.4 %,제로트러스트환경 구성 위한 EDR 도입,267.5 명,19.8 명,내부인력 0.3 명 외주인력 3.7 명 계 4 명,20.2 %,[CISO] 직책 센터장 임원여부 O 겸직여부 O / CPO 주요활동(건) 1 건 [CPO] 직책 센터장 임원여부 O 겸직여부 O / CISO 주요활동(건) 0 건,ISO27001 (2023.07.13 ~ 2026.07.12),침해사고 대응훈련 실시 등 5건,제로트러스트 환경을 위한 정보보호 솔루션 고도화 장기 계획 수립 및 수행,
