기업,연도,자율의무,업종,총임직원,IT투자,보안투자,투자비율,IT인력,전담내부,전담외주,전담계,인력비율,외주의존,CISO임원,CISO겸직,CISO활동건수,수정공시,publish_no
스트리미,2023,자율,정보통신업(58~63),110.8,12589045471.0,1898140750.0,15.077717801341953,59.4,4.8,0.0,4.8,8.08080808080808,0.0,O,O,0.0,False,1438
디에이치오토웨어,2023,의무,제조업(10~34),319.4,905670690.0,25662315.0,2.833515016368698,4.4,0.0,0.0,0.0,0.0,,X,X,0.0,True,1440
에스알,2023,자율,운수 및 창고업(49~52),734.3,29153143378.0,2264597982.0,7.767937586136754,53.5,3.1,7.3,10.4,19.439252336448597,70.1923076923077,X,X,1.0,False,1441
비에이치아이,2023,의무,제조업(10~34),423.0,1916348237.0,91580033.0,4.778882628523012,7.0,0.0,0.0,0.0,0.0,,X,O,1.0,False,1442
에이치에스화성,2023,의무,건설업(41~42),419.8,910210602.0,102191325.0,11.227217610458025,2.0,0.0,0.0,0.0,0.0,,O,O,0.0,False,1443
동국제강,2023,의무,제조업(10~34),2544.6,28080219770.0,1589160238.0,5.659358263633703,146.6,0.3,6.5,6.8,4.638472032742155,95.58823529411765,X,O,0.0,False,1444
LF,2023,의무,제조업(10~34),1172.5,37454952447.0,2166076096.0,5.783150036207013,195.1,4.4,8.3,12.7,6.509482316760636,65.35433070866142,O,X,3.0,False,1445
에이치디현대일렉트릭,2023,의무,제조업(10~34),2094.0,2657911000.0,87115000.0,3.27757400454718,18.0,3.0,0.0,3.0,16.666666666666664,0.0,O,O,0.0,False,1446
LB세미콘,2023,의무,제조업(10~34),662.0,7345858389.0,1187079711.0,16.15985019228772,12.0,2.0,0.0,2.0,16.666666666666664,0.0,O,O,2.0,False,1447
에이비클,2023,의무,정보통신업(58~63),19.8,1167008283.0,104553843.0,8.959134611386473,13.2,1.8,0.0,1.8,13.636363636363638,0.0,O,O,3.0,False,1448
한솔케미칼,2023,의무,제조업(10~34),634.4,2685538580.0,204664612.0,7.620989455306949,6.7,2.0,0.1,2.1,31.343283582089555,4.761904761904762,O,O,0.0,True,1450
티피,2023,의무,제조업(10~34),377.6,2494492898.0,102325985.0,4.102075619539407,14.8,1.0,0.0,1.0,6.756756756756756,0.0,O,O,2.0,False,1451
태웅,2023,의무,제조업(10~34),451.1,683254386.0,68650000.0,10.047502278309562,7.3,0.0,0.4,0.4,5.479452054794521,100.0,X,O,0.0,True,1452
