publish_no,no,공시연도,자율의무,기업명,업종,게시일,수정공시일
4645,3889,2026,자율,한국지역난방공사,"전기, 가스, 증기 및 공기 조절 공급업(35)",2026-07-06,
4644,3888,2026,의무,텐센트코리아 유한회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4643,3887,2026,의무,[수정] 유니퀘스트,도매 및 소매업(45~47),2026-06-30,2026-07-03
4642,3886,2026,의무,서울이동통신(주),정보통신업(58~63),2026-06-30,
4641,3885,2026,의무,(주)케이지이니시스,정보통신업(58~63),2026-06-30,
4640,3884,2026,의무,화신정공,제조업(10~34),2026-06-30,
4639,3883,2026,의무,이노피아테크,제조업(10~34),2026-06-30,
4638,3882,2026,의무,이노그리드,정보통신업(58~63),2026-06-30,
4637,3881,2026,의무,(주)KCTV제주방송,정보통신업(58~63),2026-06-30,
4636,3880,2026,의무,가이온,정보통신업(58~63),2026-06-30,
4625,3879,2026,의무,(주)퍼시스,제조업(10~34),2026-06-30,
4634,3878,2026,의무,[수정] (주)에이스침대,제조업(10~34),2026-06-30,2026-07-09
4635,3877,2026,의무,에스에프에이넥셀,제조업(10~34),2026-06-30,
4633,3876,2026,의무,아진산업,제조업(10~34),2026-06-30,
4538,3875,2026,의무,삼성이앤에이(주),건설업(41~42),2026-06-30,
3821,3874,2026,자율,충북대학교병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),보건업 및 사회복지 서비스업(86~87),2026-06-30,
4541,3873,2026,자율,나이스디앤비 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4632,3872,2026,자율,(주)우리은행 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4631,3871,2026,의무,에스케이텔레콤(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4574,3870,2026,의무,(주) 엘지씨엔에스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4629,3869,2026,의무,에스케이바이오팜(주),"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4630,3868,2026,의무,TikTok Pte. Ltd.,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4628,3867,2026,의무,한국아이비엠(주),도매 및 소매업(45~47),2026-06-30,
4627,3866,2026,의무,레브잇,정보통신업(58~63),2026-06-30,
4624,3865,2026,의무,에스케이브로드밴드주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4626,3864,2026,의무,일성건설(주),건설업(41~42),2026-06-30,
4619,3863,2026,의무,(주)케이티씨에스,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4623,3862,2026,의무,[수정] 코스맥스(주),제조업(10~34),2026-06-30,2026-08-03
4534,3861,2026,의무,(주)아모레퍼시픽 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4484,3860,2026,자율,에스케이바이오사이언스(주),제조업(10~34),2026-06-30,
4584,3859,2026,의무,(주)화신,제조업(10~34),2026-06-30,
4622,3858,2026,의무,주식회사 아모에스넷,정보통신업(58~63),2026-06-30,
4621,3857,2026,의무,현대엘리베이터(주),제조업(10~34),2026-06-30,
4620,3856,2026,의무,한온시스템(주),제조업(10~34),2026-06-30,
4618,3855,2026,의무,씨제이올리브영㈜ 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4615,3854,2026,의무,(주)삼원강재,제조업(10~34),2026-06-30,
4616,3853,2026,의무,두산테스나,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4617,3852,2026,의무,(주)딜라이브경기동부케이블티브이,정보통신업(58~63),2026-06-30,
4613,3851,2026,의무,에스에프에이,제조업(10~34),2026-06-30,
4614,3850,2026,의무,(주)딜라이브강남케이블티브이 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4612,3849,2026,의무,LG유플러스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4611,3848,2026,의무,대한제당(주),제조업(10~34),2026-06-30,
4610,3847,2026,의무,주식회사 딜라이브 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4607,3846,2026,의무,(주) 파워로직스,제조업(10~34),2026-06-30,
4609,3845,2026,의무,제이씨엔울산중앙방송 주식회사,정보통신업(58~63),2026-06-30,
4294,3844,2026,의무,케이티클라우드 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4608,3843,2026,의무,씨제이올리브네트웍스 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4606,3842,2026,의무,이화의대부속목동병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),교육 서비스업(85),2026-06-30,
4603,3841,2026,자율,엠피리온디씨코리아,정보통신업(58~63),2026-06-30,
4605,3840,2026,자율,한미글로벌건축사사무소,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4604,3839,2026,의무,서울반도체 주식회사,제조업(10~34),2026-06-30,
4600,3838,2026,의무,롯데이노베이트(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4602,3837,2026,의무,한솔케미칼,제조업(10~34),2026-06-30,
4597,3836,2026,의무,(주)지마켓 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4601,3835,2026,자율,네이버제트 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4598,3834,2026,의무,제이와이피엔터테인먼트,정보통신업(58~63),2026-06-30,
4467,3833,2026,의무,(주)모베이스전자,제조업(10~34),2026-06-30,
4599,3832,2026,자율,크림 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4596,3831,2026,의무,CJ제일제당㈜ 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4595,3830,2026,의무,한신공영 (주),건설업(41~42),2026-06-30,
4593,3829,2026,자율,(주) 비바리퍼블리카 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4594,3828,2026,자율,스노우 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4591,3827,2026,의무,주식회사 티케이케미칼,제조업(10~34),2026-06-30,
4492,3826,2026,의무,[수정] 한일시멘트(주),제조업(10~34),2026-06-30,2026-08-03
4592,3825,2026,의무,(주)서연이화,제조업(10~34),2026-06-30,
4493,3824,2026,의무,엘지전자(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4590,3823,2026,의무,연세대학교 의과대학 강남세브란스병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),보건업 및 사회복지 서비스업(86~87),2026-06-30,
4587,3822,2026,의무,주식회사 엘지헬로비전 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4139,3821,2026,의무,알리익스프레스코리아,도매 및 소매업(45~47),2026-06-30,
4589,3820,2026,의무,(주)케이에스에스해운,운수 및 창고업(49~52),2026-06-30,
4588,3819,2026,자율,비누랩스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4539,3818,2026,의무,롯데쇼핑(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4089,3817,2026,의무,에이치엘디앤아이한라,건설업(41~42),2026-06-30,
4586,3816,2026,의무,(주)제일기획,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4583,3815,2026,자율,(주)제주은행 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4497,3814,2026,의무,쿠쿠홈시스 주식회사,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4473,3813,2026,의무,(주)다우기술 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4578,3812,2026,자율,주식회사 쿼드마이너,정보통신업(58~63),2026-06-30,
4427,3811,2026,의무,(주)케이티 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4582,3810,2026,의무,넥스틸(주),제조업(10~34),2026-06-30,
4503,3809,2026,의무,(주) 화승인더스트리,도매 및 소매업(45~47),2026-06-30,
4579,3808,2026,의무,주식회사 티빙 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4580,3807,2026,의무,에이치디현대마린엔진,제조업(10~34),2026-06-30,
4576,3806,2026,의무,주식회사 하이브,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4581,3805,2026,의무,도이치모터스(주),도매 및 소매업(45~47),2026-06-30,
4577,3804,2026,의무,씨제이대한통운(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),운수 및 창고업(49~52),2026-06-30,
4557,3803,2026,의무,엠케이전자㈜,제조업(10~34),2026-06-30,
4573,3802,2026,의무,남양유업 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4575,3801,2026,의무,주식회사 파라다이스,"예술, 스포츠 및 여가관련 서비스업(90~91)",2026-06-30,
4565,3800,2026,의무,미창석유공업(주),제조업(10~34),2026-06-30,
4572,3799,2026,의무,"Meta Platforms,Inc.",,2026-06-30,
4568,3798,2026,의무,[수정] 에이치케이이노엔(주),제조업(10~34),2026-06-30,2026-07-29
4570,3797,2026,의무,현대코퍼레이션 주식회사,도매 및 소매업(45~47),2026-06-30,
4567,3796,2026,의무,티맵모빌리티 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4571,3795,2026,의무,마이크로소프트5673코리아 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),,2026-06-30,
4563,3794,2026,의무,주식회사 신성이엔지,제조업(10~34),2026-06-30,
4472,3793,2026,의무,모트렉스 주식회사,제조업(10~34),2026-06-30,
4569,3792,2026,의무,에이치에스애드,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4144,3791,2026,의무,한전산업개발(주),"전기, 가스, 증기 및 공기 조절 공급업(35)",2026-06-30,
4566,3790,2026,의무,[수정] 선익시스템,제조업(10~34),2026-06-30,2026-07-31
4475,3789,2026,의무,가온전선,제조업(10~34),2026-06-30,
4564,3788,2026,의무,(주)에스에프에이반도체,제조업(10~34),2026-06-30,
4548,3787,2026,의무,(주) 데이콤크로싱,정보통신업(58~63),2026-06-30,
4387,3786,2026,의무,주식회사 티엠씨,제조업(10~34),2026-06-30,
4562,3785,2026,의무,SK네트웍스(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4439,3784,2026,자율,하이픈코퍼레이션 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4219,3783,2026,의무,현대로템 주식회사,제조업(10~34),2026-06-30,
4560,3782,2026,의무,(주)뉴젠스,정보통신업(58~63),2026-06-30,
4559,3781,2026,자율,한국투자증권(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4558,3780,2026,의무,매일유업 주식회사,제조업(10~34),2026-06-30,
4468,3779,2026,의무,화승코퍼레이션,제조업(10~34),2026-06-30,
4554,3778,2026,자율,호텔롯데 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),숙박 및 음식점업(55~56),2026-06-30,
4555,3777,2026,의무,한국마이크로소프트 유한회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4452,3776,2026,의무,[수정] (주)트리니티항공 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),운수 및 창고업(49~52),2026-06-30,2026-07-03
4552,3775,2026,자율,주식회사 위버스컴퍼니 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4549,3774,2026,의무,주식회사 포스코인터내셔널 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4510,3773,2026,의무,한국공항(주),운수 및 창고업(49~52),2026-06-30,
4545,3772,2026,의무,(주)아이즈비전 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4532,3771,2026,의무,인터지스(주),운수 및 창고업(49~52),2026-06-30,
4550,3770,2026,의무,씨제이프레시웨이주식회사,도매 및 소매업(45~47),2026-06-30,
4551,3769,2026,의무,주식회사 케이티엠오에스북부,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4547,3768,2026,의무,애경산업㈜,제조업(10~34),2026-06-30,
4531,3767,2026,의무,(주)파트론,제조업(10~34),2026-06-30,
4546,3766,2026,의무,쿠팡 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),도매 및 소매업(45~47),2026-06-30,
4544,3765,2026,자율,대홍기획,"전문, 과학 및 기술 서비스업(70~73)",2026-06-30,
4543,3764,2026,의무,(주)서흥,제조업(10~34),2026-06-30,
4533,3763,2026,의무,(주)대한항공 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),운수 및 창고업(49~52),2026-06-30,
4540,3762,2026,의무,주식회사 티머니,정보통신업(58~63),2026-06-30,
4542,3761,2026,의무,Equinix Hyperscale 3(SL2),,2026-06-30,
4236,3760,2026,의무,더본코리아,도매 및 소매업(45~47),2026-06-30,
4537,3759,2026,의무,주식회사 당근마켓 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4334,3758,2026,자율,전북대학교병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),보건업 및 사회복지 서비스업(86~87),2026-06-30,
4536,3757,2026,의무,에스케이디앤디 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),부동산업(68),2026-06-30,
4535,3756,2026,의무,(주)삼양패키징,제조업(10~34),2026-06-30,
4527,3755,2026,자율,케이비금융지주 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-30,
4528,3754,2026,의무,(주)사조오양,제조업(10~34),2026-06-30,
4529,3753,2026,의무,OpenAI,,2026-06-30,
4523,3752,2026,의무,아이티센엔텍,정보통신업(58~63),2026-06-30,
4522,3751,2026,의무,대한제분(주),제조업(10~34),2026-06-30,
4526,3750,2026,의무,(주)금화피에스시,"전기, 가스, 증기 및 공기 조절 공급업(35)",2026-06-30,
4525,3749,2026,의무,주식회사 쏘카 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-30,
4521,3748,2026,의무,한솔제지(주),제조업(10~34),2026-06-30,
4520,3747,2026,의무,네이트커뮤니케이션즈(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4519,3746,2026,의무,주식회사 케이티샛 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4516,3745,2026,의무,세종네트웍스 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4517,3744,2026,의무,주식회사 에치에프알,제조업(10~34),2026-06-30,
4518,3743,2026,의무,자이에스앤디(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),건설업(41~42),2026-06-30,
4513,3742,2026,의무,현대무벡스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4515,3741,2026,의무,주식회사 아름방송네트워크,정보통신업(58~63),2026-06-30,
4514,3740,2026,의무,진흥기업(주),건설업(41~42),2026-06-30,
4512,3739,2026,의무,한솔로지스틱스 주식회사,운수 및 창고업(49~52),2026-06-30,
4140,3738,2026,의무,코스메카코리아,제조업(10~34),2026-06-30,
4267,3737,2026,의무,(주)네패스,제조업(10~34),2026-06-30,
4511,3736,2026,의무,(주)유니트론텍,도매 및 소매업(45~47),2026-06-30,
4508,3735,2026,의무,동원산업(주),"농업, 임업 및 어업(01~03)",2026-06-30,
4317,3734,2026,의무,(주)포스코디엑스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-30,
4119,3733,2026,의무,(주)제이에스코퍼레이션,제조업(10~34),2026-06-30,
4509,3732,2026,자율,피아이첨단소재(주),제조업(10~34),2026-06-30,
4507,3731,2026,의무,동화약품(주),제조업(10~34),2026-06-30,
4445,3730,2026,의무,(주)엘지생활건강 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-30,
4506,3729,2026,의무,(주) 종근당,제조업(10~34),2026-06-30,
4504,3728,2026,의무,동화기업(주),제조업(10~34),2026-06-30,
4505,3727,2026,의무,주식회사 디엔오토모티브,제조업(10~34),2026-06-30,
3862,3726,2026,의무,두산에너빌리티 (주),건설업(41~42),2026-06-30,
4186,3725,2026,자율,제이브이엠,제조업(10~34),2026-06-30,
4238,3724,2026,의무,한화에어로스페이스(주),제조업(10~34),2026-06-30,
4148,3723,2026,자율,포스코이앤씨 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),건설업(41~42),2026-06-30,
3900,3722,2026,의무,에퀴닉스코리아 유한회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4502,3721,2026,의무,에이치디현대마린솔루션 주식회사,"전문, 과학 및 기술 서비스업(70~73)",2026-06-29,
4501,3720,2026,의무,미스토홀딩스,금융 및 보험업(64~66),2026-06-29,
4500,3719,2026,의무,(주) 에스원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-29,
4499,3718,2026,의무,(주)동진쎄미켐,제조업(10~34),2026-06-29,
4498,3717,2026,의무,(주)엘앤에프,제조업(10~34),2026-06-29,
4495,3716,2026,의무,두산퓨얼셀 주식회사,제조업(10~34),2026-06-29,
4496,3715,2026,의무,(주)셀트리온제약,제조업(10~34),2026-06-29,
4494,3714,2026,의무,핸즈코퍼레이션주식회사,제조업(10~34),2026-06-29,
4329,3713,2026,의무,기아 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-29,
4490,3712,2026,의무,(주)케이아이엔엑스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4483,3711,2026,의무,한국제지,제조업(10~34),2026-06-29,
4491,3710,2026,의무,(주)대동,제조업(10~34),2026-06-29,
4488,3709,2026,의무,한진정보통신(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4489,3708,2026,의무,[수정] 에스케이스퀘어 주식회사,금융 및 보험업(64~66),2026-06-29,2026-07-30
4487,3707,2026,의무,리드코프,도매 및 소매업(45~47),2026-06-29,
4486,3706,2026,의무,(주)코스콤 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4471,3705,2026,의무,(주)와이지엔터테인먼트,정보통신업(58~63),2026-06-29,
4482,3704,2026,의무,(주)경동도시가스 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),"전기, 가스, 증기 및 공기 조절 공급업(35)",2026-06-29,
4481,3703,2026,의무,한미약품(주),제조업(10~34),2026-06-29,
4480,3702,2026,의무,주식회사 원익머트리얼즈,제조업(10~34),2026-06-29,
4477,3701,2026,의무,나이스인프라 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-29,
4479,3700,2026,의무,엘지디스플레이 주식회사,제조업(10~34),2026-06-29,
4478,3699,2026,의무,(주)드림텍,제조업(10~34),2026-06-29,
4442,3698,2026,의무,현대자동차(주) 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),제조업(10~34),2026-06-29,
4476,3697,2026,의무,(주)GS글로벌,도매 및 소매업(45~47),2026-06-29,
3857,3696,2026,자율,(주)카카오헬스케어 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4321,3695,2026,의무,율촌화학(주),제조업(10~34),2026-06-29,
4474,3694,2026,의무,씨제이씨지브이 주식회사 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),정보통신업(58~63),2026-06-29,
4470,3693,2026,의무,케이티엠오에스남부,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2026-06-29,
4391,3692,2026,자율,유안타증권 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),금융 및 보험업(64~66),2026-06-29,
4469,3691,2026,의무,[수정] (주)지에스,금융 및 보험업(64~66),2026-06-29,2026-08-03
4384,3690,2026,의무,[수정] 동양이엔피 주식회사,제조업(10~34),2026-06-29,2026-07-24
4466,3689,2026,자율,순천향대학교부속천안병원 정보보호 투자 우수기업 (정보보호 관리체계 인증 또는 정보보호 준비도 평가 AA 등급 이상을 받은 자 중 정보보호 공시를 이행한 자),보건업 및 사회복지 서비스업(86~87),2026-06-29,
4462,3688,2026,의무,주식회사 SIMPAC,제조업(10~34),2026-06-29,
4463,3687,2026,의무,(주)셀트리온,제조업(10~34),2026-06-29,
